Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1554966057600700417,und,NO,YES,0,23,"",Wed Aug 03 23:02:52 +0000 2022
1554971525308002304,en,NO,YES,0,7,"",Wed Aug 03 23:24:36 +0000 2022
1554965339519303681,en,NO,NO,4,2,"",Wed Aug 03 23:00:01 +0000 2022
1554965559644659713,en,NO,NO,3,0,"",Wed Aug 03 23:00:53 +0000 2022
1554965702628483073,fr,NO,YES,0,179,"",Wed Aug 03 23:01:28 +0000 2022
1554965929146081281,fr,NO,YES,0,179,"",Wed Aug 03 23:02:22 +0000 2022
1554966599068680194,fr,NO,YES,0,441,"",Wed Aug 03 23:05:01 +0000 2022
1554966631906004993,fr,NO,YES,0,2,"",Wed Aug 03 23:05:09 +0000 2022
1554966944775917569,en,NO,NO,228,33,"",Wed Aug 03 23:06:24 +0000 2022
1554967007359111169,en,NO,YES,0,33,"",Wed Aug 03 23:06:39 +0000 2022
1554967175471022080,en,NO,YES,0,33,"",Wed Aug 03 23:07:19 +0000 2022
1554967179740708864,fr,NO,NO,0,0,"",Wed Aug 03 23:07:20 +0000 2022
1554967432032243714,en,NO,YES,0,33,"",Wed Aug 03 23:08:20 +0000 2022
1554967472901701635,fr,NO,YES,0,630,"",Wed Aug 03 23:08:30 +0000 2022
1554967523363266560,fr,NO,NO,0,0,"",Wed Aug 03 23:08:42 +0000 2022
1554967528371355651,en,NO,YES,0,33,"",Wed Aug 03 23:08:43 +0000 2022
1554967546289221632,en,NO,YES,0,3,"",Wed Aug 03 23:08:47 +0000 2022
1554967932131835905,en,NO,NO,1,0,"",Wed Aug 03 23:10:19 +0000 2022
1554967973290450944,en,NO,YES,0,33,"",Wed Aug 03 23:10:29 +0000 2022
1554968046284021761,fr,NO,YES,0,179,"",Wed Aug 03 23:10:46 +0000 2022
1554968074826162177,en,NO,YES,0,33,"",Wed Aug 03 23:10:53 +0000 2022
1554968092794650626,fr,NO,YES,0,179,"",Wed Aug 03 23:10:57 +0000 2022
1554968312496508928,fr,NO,YES,0,179,"",Wed Aug 03 23:11:50 +0000 2022
1554968494046937090,fr,NO,NO,1,0,"",Wed Aug 03 23:12:33 +0000 2022
1554968527706152961,fr,NO,YES,0,2,"",Wed Aug 03 23:12:41 +0000 2022
1554968706798817282,en,NO,NO,1,0,"",Wed Aug 03 23:13:24 +0000 2022
1554968767549022209,en,NO,NO,1,0,"",Wed Aug 03 23:13:38 +0000 2022
1554968928320888834,en,NO,NO,0,0,"",Wed Aug 03 23:14:17 +0000 2022
1554968960013058051,en,NO,YES,0,33,"",Wed Aug 03 23:14:24 +0000 2022
1554969177999683585,fr,NO,YES,0,186,"",Wed Aug 03 23:15:16 +0000 2022
1554969192805421058,en,NO,YES,0,33,"",Wed Aug 03 23:15:20 +0000 2022
1554969335759880196,fr,NO,YES,0,632,"",Wed Aug 03 23:15:54 +0000 2022
1554969426491056129,fr,NO,NO,2,0,"",Wed Aug 03 23:16:15 +0000 2022
1554969725532344320,en,NO,NO,2,0,"",Wed Aug 03 23:17:27 +0000 2022
1554969748441649157,en,NO,NO,0,0,"",Wed Aug 03 23:17:32 +0000 2022
1554970117666111488,en,NO,YES,0,20,"",Wed Aug 03 23:19:00 +0000 2022
1554970248972992513,pt,NO,NO,0,0,"",Wed Aug 03 23:19:31 +0000 2022
1554970292753235975,en,NO,NO,0,0,"",Wed Aug 03 23:19:42 +0000 2022
1554970351750496256,en,NO,NO,2,1,"",Wed Aug 03 23:19:56 +0000 2022
1554970525117579265,fr,NO,YES,0,1,"",Wed Aug 03 23:20:37 +0000 2022
1554970821797580801,fr,NO,YES,0,188,"",Wed Aug 03 23:21:48 +0000 2022
1554971002639204353,en,NO,YES,0,33,"",Wed Aug 03 23:22:31 +0000 2022
1554971109551968257,en,NO,YES,0,33,"",Wed Aug 03 23:22:57 +0000 2022
1554971273234718726,en,NO,YES,0,1,"",Wed Aug 03 23:23:36 +0000 2022
1554971356336472067,fr,NO,YES,0,188,"",Wed Aug 03 23:23:55 +0000 2022
1554971878149836800,fr,NO,YES,0,8,"",Wed Aug 03 23:26:00 +0000 2022
1554972787604955139,en,NO,NO,0,0,"",Wed Aug 03 23:29:37 +0000 2022
1554972818294579201,fr,NO,YES,0,188,"",Wed Aug 03 23:29:44 +0000 2022
1554973176337244161,fr,NO,YES,0,188,"",Wed Aug 03 23:31:09 +0000 2022
1554973980129431554,en,NO,YES,0,9,"",Wed Aug 03 23:34:21 +0000 2022
1554974227220013061,fr,NO,YES,0,97,"",Wed Aug 03 23:35:20 +0000 2022
1554974475686477824,fr,NO,NO,0,0,"",Wed Aug 03 23:36:19 +0000 2022
1554974477821386753,fr,NO,YES,0,188,"",Wed Aug 03 23:36:20 +0000 2022
1554974928897617920,el,NO,NO,0,0,"",Wed Aug 03 23:38:07 +0000 2022
1554975030815387648,fr,NO,YES,0,188,"",Wed Aug 03 23:38:32 +0000 2022
1554975273396969472,en,NO,NO,1,0,"",Wed Aug 03 23:39:29 +0000 2022
1554975496429268992,en,NO,YES,0,33,"",Wed Aug 03 23:40:23 +0000 2022
1554975594684751879,fr,NO,YES,0,188,"",Wed Aug 03 23:40:46 +0000 2022
1554975852147998720,fr,NO,YES,0,38,"",Wed Aug 03 23:41:47 +0000 2022
1554975928501112837,pt,NO,NO,0,0,"",Wed Aug 03 23:42:06 +0000 2022
1554975945374765056,fr,NO,YES,0,188,"",Wed Aug 03 23:42:10 +0000 2022
1554976130842632193,es,NO,NO,0,0,"",Wed Aug 03 23:42:54 +0000 2022
1554976714475831302,fr,NO,YES,0,8,"",Wed Aug 03 23:45:13 +0000 2022
1554976988733005826,en,NO,YES,0,20,"",Wed Aug 03 23:46:18 +0000 2022
1554977280698507270,en,NO,NO,1,0,"",Wed Aug 03 23:47:28 +0000 2022
1554977426085748738,fr,NO,YES,0,188,"",Wed Aug 03 23:48:03 +0000 2022
1554977792487559173,fr,NO,NO,0,0,"",Wed Aug 03 23:49:30 +0000 2022
1554977999904247809,fr,NO,YES,0,188,"",Wed Aug 03 23:50:19 +0000 2022
1554978038739345408,fr,NO,NO,1,0,"",Wed Aug 03 23:50:29 +0000 2022
1554978361717493762,fr,NO,NO,0,0,"",Wed Aug 03 23:51:46 +0000 2022
1554978376326467584,pt,NO,NO,1,0,"",Wed Aug 03 23:51:49 +0000 2022
1554978413840314368,en,NO,NO,0,0,"",Wed Aug 03 23:51:58 +0000 2022
1554978878732570624,pt,NO,NO,1,0,"",Wed Aug 03 23:53:49 +0000 2022
1554978894792765440,pt,NO,NO,0,0,"",Wed Aug 03 23:53:53 +0000 2022
1554979012598005760,en,NO,NO,0,0,"",Wed Aug 03 23:54:21 +0000 2022
1554979077689311233,en,NO,YES,0,28,"",Wed Aug 03 23:54:36 +0000 2022
1554979139341488128,fr,NO,YES,0,1,"",Wed Aug 03 23:54:51 +0000 2022
1554979168135397376,en,NO,YES,0,28,"",Wed Aug 03 23:54:58 +0000 2022
1554979170836439041,pt,NO,NO,1,0,"",Wed Aug 03 23:54:59 +0000 2022
1554979441033584642,en,NO,YES,0,28,"",Wed Aug 03 23:56:03 +0000 2022
1554980020162019339,fr,NO,YES,0,635,"",Wed Aug 03 23:58:21 +0000 2022
