Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1565051947396235266,ko,NO,YES,0,153,"",Wed Aug 31 19:00:36 +0000 2022
1565052194956656640,ko,NO,YES,0,151,"",Wed Aug 31 19:01:35 +0000 2022
1565053318308646912,ja,NO,YES,0,2,"",Wed Aug 31 19:06:03 +0000 2022
1565053369906970624,ja,NO,YES,0,2,"",Wed Aug 31 19:06:15 +0000 2022
1565053387489439744,en,NO,YES,0,4,"",Wed Aug 31 19:06:19 +0000 2022
1565053410386120706,ja,NO,YES,0,4,"",Wed Aug 31 19:06:24 +0000 2022
1565053438542561280,ja,NO,YES,0,5,"",Wed Aug 31 19:06:31 +0000 2022
1565053581346029569,ja,NO,YES,0,4,"",Wed Aug 31 19:07:05 +0000 2022
1565053805560926213,ja,NO,YES,0,6,"",Wed Aug 31 19:07:59 +0000 2022
1565055046781669377,ko,NO,YES,0,153,"",Wed Aug 31 19:12:55 +0000 2022
1565055571207659521,ja,NO,YES,0,6,"",Wed Aug 31 19:15:00 +0000 2022
1565055596734230531,ja,NO,YES,0,4,"",Wed Aug 31 19:15:06 +0000 2022
1565065170157801472,ko,NO,YES,0,153,"",Wed Aug 31 19:53:08 +0000 2022
1565051938017878016,fr,NO,NO,0,0,"",Wed Aug 31 19:00:33 +0000 2022
1565051976336932865,pt,NO,NO,0,0,"",Wed Aug 31 19:00:43 +0000 2022
1565052018271690756,en,NO,YES,0,4,"",Wed Aug 31 19:00:53 +0000 2022
1565052202011475969,en,NO,NO,0,0,"",Wed Aug 31 19:01:36 +0000 2022
1565052233422540800,en,NO,NO,2,0,"",Wed Aug 31 19:01:44 +0000 2022
1565052333943562240,en,NO,NO,2,6,"",Wed Aug 31 19:02:08 +0000 2022
1565052409516359681,fr,NO,YES,0,4,"",Wed Aug 31 19:02:26 +0000 2022
1565052428160045061,fr,NO,YES,0,44,"",Wed Aug 31 19:02:30 +0000 2022
1565052469922582528,en,NO,NO,4,0,"",Wed Aug 31 19:02:40 +0000 2022
1565052508728434692,fr,NO,NO,0,0,"",Wed Aug 31 19:02:50 +0000 2022
1565052726777729026,fr,NO,YES,0,12,"",Wed Aug 31 19:03:41 +0000 2022
1565052825058811904,pt,NO,NO,0,0,"",Wed Aug 31 19:04:05 +0000 2022
1565052840313249795,fr,NO,YES,0,161,"",Wed Aug 31 19:04:09 +0000 2022
1565053009989607429,fr,NO,YES,0,44,"",Wed Aug 31 19:04:49 +0000 2022
1565053024564908035,fr,NO,NO,10,0,"",Wed Aug 31 19:04:52 +0000 2022
1565053241100046337,pt,NO,NO,1,0,"",Wed Aug 31 19:05:44 +0000 2022
1565053457681235971,fr,NO,YES,0,23,"",Wed Aug 31 19:06:36 +0000 2022
1565053544478265345,fr,NO,YES,0,44,"",Wed Aug 31 19:06:56 +0000 2022
1565053709234704384,fr,NO,YES,0,331,"",Wed Aug 31 19:07:36 +0000 2022
1565053983294722048,pt,NO,NO,0,0,"",Wed Aug 31 19:08:41 +0000 2022
1565054542940717057,pt,NO,NO,0,0,"",Wed Aug 31 19:10:55 +0000 2022
1565054833891201024,nl,NO,NO,2,1,"",Wed Aug 31 19:12:04 +0000 2022
1565054915847782413,pt,NO,NO,1,0,"",Wed Aug 31 19:12:23 +0000 2022
1565055082143617024,fr,NO,NO,1,0,"",Wed Aug 31 19:13:03 +0000 2022
1565055493567135755,fr,NO,YES,0,331,"",Wed Aug 31 19:14:41 +0000 2022
1565055639906357249,fr,NO,NO,0,0,"",Wed Aug 31 19:15:16 +0000 2022
