Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1562942328310210561,ko,NO,NO,27,15,"",Thu Aug 25 23:17:43 +0000 2022
1562942610012270593,ko,NO,YES,0,2,"",Thu Aug 25 23:18:50 +0000 2022
1562944958868234240,ko,NO,NO,7,3,"",Thu Aug 25 23:28:10 +0000 2022
1562945615583006721,ko,NO,YES,0,15,"",Thu Aug 25 23:30:47 +0000 2022
1562947352284917762,ko,NO,YES,0,3,"",Thu Aug 25 23:37:41 +0000 2022
1562948207469965312,ko,NO,YES,0,3,"",Thu Aug 25 23:41:05 +0000 2022
1562948556415471616,ko,NO,YES,0,3,"",Thu Aug 25 23:42:28 +0000 2022
1562950187277946880,ko,NO,YES,0,15,"",Thu Aug 25 23:48:57 +0000 2022
1562952365334200321,ko,NO,YES,0,15,"",Thu Aug 25 23:57:36 +0000 2022
1562937895458971650,pt,NO,NO,0,0,"",Thu Aug 25 23:00:06 +0000 2022
1562938380207288321,fr,NO,YES,0,1,"",Thu Aug 25 23:02:02 +0000 2022
1562939161455210497,fr,NO,YES,0,43,"",Thu Aug 25 23:05:08 +0000 2022
1562939280506626048,en,NO,NO,0,0,"",Thu Aug 25 23:05:37 +0000 2022
1562939326459088896,en,NO,NO,8,3,"",Thu Aug 25 23:05:48 +0000 2022
1562939620811505664,fr,NO,YES,0,296,"",Thu Aug 25 23:06:58 +0000 2022
1562940351291133952,nl,NO,NO,4,1,"",Thu Aug 25 23:09:52 +0000 2022
1562940528551133187,en,NO,NO,1,0,"",Thu Aug 25 23:10:34 +0000 2022
1562940589598904322,fr,NO,YES,0,11,"",Thu Aug 25 23:10:49 +0000 2022
1562940627691917312,pt,NO,YES,0,26,"",Thu Aug 25 23:10:58 +0000 2022
1562940661560930304,pt,NO,NO,11,0,"",Thu Aug 25 23:11:06 +0000 2022
1562940663402233858,en,NO,YES,0,3,"",Thu Aug 25 23:11:06 +0000 2022
1562940879819587589,en,NO,YES,0,5,"",Thu Aug 25 23:11:58 +0000 2022
1562941050942939136,fr,NO,YES,0,4,"",Thu Aug 25 23:12:39 +0000 2022
1562941085076230145,en,NO,NO,2,0,"",Thu Aug 25 23:12:47 +0000 2022
1562941139673808896,fr,NO,YES,0,22,"",Thu Aug 25 23:13:00 +0000 2022
1562941187409199104,und,NO,NO,0,0,"",Thu Aug 25 23:13:11 +0000 2022
1562941210930839552,fr,NO,NO,0,0,"",Thu Aug 25 23:13:17 +0000 2022
1562941244015226881,fr,NO,YES,0,4,"",Thu Aug 25 23:13:25 +0000 2022
1562941359715020801,en,NO,NO,0,0,"",Thu Aug 25 23:13:52 +0000 2022
1562941383735840770,en,NO,YES,0,3,"",Thu Aug 25 23:13:58 +0000 2022
1562941512932962304,fr,NO,YES,0,296,"",Thu Aug 25 23:14:29 +0000 2022
1562942043474694144,fr,NO,YES,0,6,"",Thu Aug 25 23:16:35 +0000 2022
1562942118766968833,fr,NO,YES,0,72,"",Thu Aug 25 23:16:53 +0000 2022
1562942420677181442,en,NO,NO,0,0,"",Thu Aug 25 23:18:05 +0000 2022
1562942523408273409,en,NO,NO,1,0,"",Thu Aug 25 23:18:30 +0000 2022
1562942936639086597,fr,NO,NO,0,0,"",Thu Aug 25 23:20:08 +0000 2022
1562942967249219585,en,NO,NO,2,0,"",Thu Aug 25 23:20:16 +0000 2022
1562943011046453248,en,NO,YES,0,17,"",Thu Aug 25 23:20:26 +0000 2022
1562943028150833157,pt,NO,YES,0,43,"",Thu Aug 25 23:20:30 +0000 2022
1562943592825401347,pt,NO,NO,1,0,"",Thu Aug 25 23:22:45 +0000 2022
1562944138370482182,cs,NO,YES,0,9,"",Thu Aug 25 23:24:55 +0000 2022
1562944147027562497,fr,NO,YES,0,73,"",Thu Aug 25 23:24:57 +0000 2022
1562944254632407046,pt,NO,YES,0,26,"",Thu Aug 25 23:25:23 +0000 2022
1562944258705076224,pt,NO,YES,0,34,"",Thu Aug 25 23:25:24 +0000 2022
1562944641984774144,en,NO,NO,0,0,"",Thu Aug 25 23:26:55 +0000 2022
1562944894142148609,en,NO,YES,0,5,"",Thu Aug 25 23:27:55 +0000 2022
1562945216105299971,fr,NO,NO,3,0,"",Thu Aug 25 23:29:12 +0000 2022
1562945388826353664,en,NO,YES,0,3,"",Thu Aug 25 23:29:53 +0000 2022
1562945441724973056,fr,NO,YES,0,73,"",Thu Aug 25 23:30:06 +0000 2022
1562945522666639361,en,NO,NO,4,0,"",Thu Aug 25 23:30:25 +0000 2022
1562945523187085313,en,NO,NO,0,0,"",Thu Aug 25 23:30:25 +0000 2022
1562945784307363840,en,NO,NO,0,0,"",Thu Aug 25 23:31:27 +0000 2022
1562945815194112004,und,NO,YES,0,242,"",Thu Aug 25 23:31:35 +0000 2022
1562945918605086720,fr,NO,YES,0,32,"",Thu Aug 25 23:31:59 +0000 2022
1562946028571348992,fr,NO,NO,0,0,"",Thu Aug 25 23:32:26 +0000 2022
1562946293131284481,en,NO,NO,1,0,"",Thu Aug 25 23:33:29 +0000 2022
1562946497481621504,en,NO,NO,3,0,"",Thu Aug 25 23:34:17 +0000 2022
1562946622438658051,fr,NO,YES,0,4,"",Thu Aug 25 23:34:47 +0000 2022
1562946727732465665,sv,NO,NO,0,0,"",Thu Aug 25 23:35:12 +0000 2022
1562946914420609025,fr,NO,NO,0,0,"",Thu Aug 25 23:35:57 +0000 2022
1562947323906658304,hu,NO,NO,0,0,"",Thu Aug 25 23:37:34 +0000 2022
1562947892134178816,fr,NO,YES,0,22,"",Thu Aug 25 23:39:50 +0000 2022
1562948161152245761,el,NO,NO,0,0,"",Thu Aug 25 23:40:54 +0000 2022
1562948274046521346,fr,NO,YES,0,32,"",Thu Aug 25 23:41:21 +0000 2022
1562948314630275072,en,NO,NO,0,0,"",Thu Aug 25 23:41:31 +0000 2022
1562949165155745793,en,NO,NO,0,0,"",Thu Aug 25 23:44:53 +0000 2022
1562949451924541440,en,NO,YES,0,14,"",Thu Aug 25 23:46:02 +0000 2022
1562949617431760898,pt,NO,NO,0,0,"",Thu Aug 25 23:46:41 +0000 2022
1562950347349716996,en,NO,NO,16,6,"",Thu Aug 25 23:49:35 +0000 2022
