Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1529335407506124800,ja,NO,YES,0,6,"",Wed May 25 05:35:49 +0000 2022
1529327045964070912,fr,NO,YES,0,34,"",Wed May 25 05:02:35 +0000 2022
1529327110124363776,fr,NO,NO,11,1,"",Wed May 25 05:02:51 +0000 2022
1529327134380015617,pt,NO,NO,0,0,"",Wed May 25 05:02:57 +0000 2022
1529327473007394817,in,NO,YES,0,169,"",Wed May 25 05:04:17 +0000 2022
1529327707993124865,pt,NO,NO,0,0,"",Wed May 25 05:05:13 +0000 2022
1529328055226970112,fr,NO,NO,0,0,"",Wed May 25 05:06:36 +0000 2022
1529328157744062465,fr,NO,YES,0,34,"",Wed May 25 05:07:01 +0000 2022
1529328382466564097,en,NO,NO,0,0,"",Wed May 25 05:07:54 +0000 2022
1529328915495501826,en,NO,NO,0,0,"",Wed May 25 05:10:01 +0000 2022
1529328926555791362,fr,NO,YES,0,41,"",Wed May 25 05:10:04 +0000 2022
1529328948873768961,fr,NO,NO,1,0,"",Wed May 25 05:10:09 +0000 2022
1529329456606748672,en,NO,YES,0,123,"",Wed May 25 05:12:10 +0000 2022
1529329825432883200,fr,NO,NO,0,0,"",Wed May 25 05:13:38 +0000 2022
1529330352082325504,el,NO,NO,0,0,"",Wed May 25 05:15:44 +0000 2022
1529330366082867200,fr,NO,NO,0,0,"",Wed May 25 05:15:47 +0000 2022
1529330623130742784,en,NO,NO,11,3,"",Wed May 25 05:16:48 +0000 2022
1529330934218121217,fr,NO,YES,0,41,"",Wed May 25 05:18:02 +0000 2022
1529331061766901762,fr,NO,NO,0,0,"",Wed May 25 05:18:33 +0000 2022
1529331114892042241,fr,NO,YES,0,34,"",Wed May 25 05:18:46 +0000 2022
1529331203731402752,el,NO,NO,1,0,"",Wed May 25 05:19:07 +0000 2022
1529331334040125443,fr,NO,YES,0,8,"",Wed May 25 05:19:38 +0000 2022
1529331378545827841,en,NO,NO,0,0,"",Wed May 25 05:19:48 +0000 2022
1529331388956266496,fr,NO,YES,0,46,"",Wed May 25 05:19:51 +0000 2022
1529331665646112770,fr,NO,NO,7,1,"",Wed May 25 05:20:57 +0000 2022
1529332150394314753,fr,NO,YES,0,96,"",Wed May 25 05:22:52 +0000 2022
1529332200063176704,en,NO,YES,0,1,"",Wed May 25 05:23:04 +0000 2022
1529332208833507328,en,NO,NO,0,0,"",Wed May 25 05:23:06 +0000 2022
1529332864902471680,fr,NO,YES,0,34,"",Wed May 25 05:25:43 +0000 2022
1529332877632086017,fr,NO,NO,0,0,"",Wed May 25 05:25:46 +0000 2022
1529333377811509248,en,NO,YES,0,6,"",Wed May 25 05:27:45 +0000 2022
1529333577955299330,fr,NO,NO,0,1,"",Wed May 25 05:28:33 +0000 2022
1529333610272411648,en,NO,YES,0,3,"",Wed May 25 05:28:40 +0000 2022
1529333684008112128,nl,NO,NO,0,1,"",Wed May 25 05:28:58 +0000 2022
1529333723157651456,fr,NO,NO,3,0,"",Wed May 25 05:29:07 +0000 2022
1529333919287484417,fr,NO,YES,0,34,"",Wed May 25 05:29:54 +0000 2022
1529333923997593602,en,NO,YES,0,18,"",Wed May 25 05:29:55 +0000 2022
1529334380203761664,fr,NO,NO,0,0,"",Wed May 25 05:31:44 +0000 2022
1529334861374300160,fr,NO,YES,0,34,"",Wed May 25 05:33:39 +0000 2022
1529335128434040834,fr,NO,YES,0,41,"",Wed May 25 05:34:42 +0000 2022
1529335392062914560,fr,NO,YES,0,41,"",Wed May 25 05:35:45 +0000 2022
1529335715179413505,fr,NO,NO,2,0,"",Wed May 25 05:37:02 +0000 2022
1529335839901110272,el,NO,NO,0,0,"",Wed May 25 05:37:32 +0000 2022
1529336161319141379,fr,NO,YES,0,16,"",Wed May 25 05:38:49 +0000 2022
1529336614266208257,fr,NO,YES,0,56,"",Wed May 25 05:40:37 +0000 2022
1529336647006961664,fr,NO,YES,0,41,"",Wed May 25 05:40:45 +0000 2022
1529337098356113408,en,NO,NO,5,0,"",Wed May 25 05:42:32 +0000 2022
1529337992397172736,fr,NO,NO,0,0,"",Wed May 25 05:46:05 +0000 2022
1529338166251032576,en,NO,YES,0,119,"",Wed May 25 05:46:47 +0000 2022
1529339203984797697,fr,NO,YES,0,198,"",Wed May 25 05:50:54 +0000 2022
1529339488337551363,fr,NO,YES,0,34,"",Wed May 25 05:52:02 +0000 2022
1529340063624077312,fr,NO,NO,0,0,"",Wed May 25 05:54:19 +0000 2022
1529340214367465473,fr,NO,YES,0,41,"",Wed May 25 05:54:55 +0000 2022
1529340565493624835,fr,NO,NO,0,0,"",Wed May 25 05:56:19 +0000 2022
1529340778065104896,en,NO,NO,0,0,"",Wed May 25 05:57:09 +0000 2022
1529341322548719616,fr,NO,YES,0,2,"",Wed May 25 05:59:19 +0000 2022
1529326392109805568,en,NO,YES,0,7405,"",Wed May 25 05:00:00 +0000 2022
1529326392659394564,fr,NO,YES,0,907,"",Wed May 25 05:00:00 +0000 2022
1529326392935972864,en,NO,NO,0,0,"",Wed May 25 05:00:00 +0000 2022
1529326393040977922,de,NO,NO,1,0,"",Wed May 25 05:00:00 +0000 2022
1529326393103831046,en,NO,NO,0,0,"",Wed May 25 05:00:00 +0000 2022
1529326393909293057,en,NO,NO,11,3,"",Wed May 25 05:00:00 +0000 2022
1529326393980358656,en,NO,YES,0,1715,"",Wed May 25 05:00:00 +0000 2022
1529326394152407040,de,NO,NO,0,0,"",Wed May 25 05:00:00 +0000 2022
1529326394286686212,en,NO,NO,7,5,"",Wed May 25 05:00:00 +0000 2022
1529326394299207680,en,NO,NO,1,0,"",Wed May 25 05:00:00 +0000 2022
1529326394546737152,es,NO,NO,3,3,"",Wed May 25 05:00:00 +0000 2022
1529326394920128512,en,NO,NO,2,1,"",Wed May 25 05:00:00 +0000 2022
1529326395016351749,en,NO,YES,0,26789,"",Wed May 25 05:00:00 +0000 2022
1529326395431723008,en,NO,YES,0,57,"",Wed May 25 05:00:00 +0000 2022
1529326395549163521,fr,NO,YES,0,154,"",Wed May 25 05:00:00 +0000 2022
1529326395582824448,en,NO,NO,0,0,"",Wed May 25 05:00:00 +0000 2022
1529326395733618688,en,NO,YES,0,2202,"",Wed May 25 05:00:00 +0000 2022
1529326396031610881,en,NO,YES,0,63059,"",Wed May 25 05:00:00 +0000 2022
1529326396304244736,ja,NO,NO,5,1,"",Wed May 25 05:00:01 +0000 2022
1529326396480299008,en,NO,YES,0,269,"",Wed May 25 05:00:01 +0000 2022
1529326396853690368,en,NO,YES,0,102,"",Wed May 25 05:00:01 +0000 2022
1529326397096869889,en,NO,YES,0,26789,"",Wed May 25 05:00:01 +0000 2022
1529326397327814656,en,NO,YES,0,7,"",Wed May 25 05:00:01 +0000 2022
1529326397692334080,en,NO,YES,0,7405,"",Wed May 25 05:00:01 +0000 2022
1529326398682578944,en,NO,YES,0,26789,"",Wed May 25 05:00:01 +0000 2022
1529326400330670080,en,NO,YES,0,63059,"",Wed May 25 05:00:02 +0000 2022
1529326402553712640,es,NO,NO,0,0,"",Wed May 25 05:00:02 +0000 2022
1529326404592144384,en,NO,YES,0,7405,"",Wed May 25 05:00:03 +0000 2022
1529326404860579840,de,NO,NO,9,0,"",Wed May 25 05:00:03 +0000 2022
1529326405070225410,en,NO,YES,0,63059,"",Wed May 25 05:00:03 +0000 2022
1529326405560848384,ja,NO,NO,0,0,"",Wed May 25 05:00:03 +0000 2022
1529326405867433984,en,NO,NO,43,4,"",Wed May 25 05:00:03 +0000 2022
1529326406202667011,qme,NO,NO,0,0,"",Wed May 25 05:00:03 +0000 2022
1529326407100375043,nl,NO,YES,0,36,"",Wed May 25 05:00:03 +0000 2022
1529326409117753344,en,NO,YES,0,46019,"",Wed May 25 05:00:04 +0000 2022
1529326410820726786,en,NO,YES,0,63059,"",Wed May 25 05:00:04 +0000 2022
1529326411076493313,en,NO,YES,0,7347,"",Wed May 25 05:00:04 +0000 2022
1529326411382677504,en,NO,YES,0,27,"",Wed May 25 05:00:04 +0000 2022
1529326412641050624,en,NO,YES,0,63059,"",Wed May 25 05:00:04 +0000 2022
1529326413966241792,en,NO,YES,0,55,"",Wed May 25 05:00:05 +0000 2022
1529326415216254979,de,NO,NO,2,0,"",Wed May 25 05:00:05 +0000 2022
1529326418718507008,en,NO,NO,8,8,"",Wed May 25 05:00:06 +0000 2022
1529326419955924993,de,NO,NO,0,0,"",Wed May 25 05:00:06 +0000 2022
1529326420253630464,en,NO,YES,0,7405,"",Wed May 25 05:00:06 +0000 2022
1529326420647940097,en,NO,NO,2,0,"",Wed May 25 05:00:06 +0000 2022
1529326421189206017,en,NO,NO,0,0,"",Wed May 25 05:00:06 +0000 2022
1529326421210013696,de,NO,YES,0,42,"",Wed May 25 05:00:06 +0000 2022
1529326421793021956,qst,NO,NO,0,0,"",Wed May 25 05:00:07 +0000 2022
1529326422099038208,en,NO,YES,0,2011,"",Wed May 25 05:00:07 +0000 2022
1529326422421975040,en,NO,YES,0,904,"",Wed May 25 05:00:07 +0000 2022
1529326423185293312,en,NO,YES,0,145,"",Wed May 25 05:00:07 +0000 2022
1529326423369981954,en,NO,YES,0,41,"",Wed May 25 05:00:07 +0000 2022
1529326423512518657,en,NO,YES,0,63059,"",Wed May 25 05:00:07 +0000 2022
1529326425534529537,en,NO,YES,0,3096,"",Wed May 25 05:00:08 +0000 2022
1529326425815252992,en,NO,YES,0,4456,"",Wed May 25 05:00:08 +0000 2022
1529326426004103169,en,NO,YES,0,806,"",Wed May 25 05:00:08 +0000 2022
1529326427216150533,en,NO,YES,0,2258,"",Wed May 25 05:00:08 +0000 2022
1529326428872814592,en,NO,YES,0,46019,"",Wed May 25 05:00:08 +0000 2022
1529326428893941762,en,NO,YES,0,1157,"",Wed May 25 05:00:08 +0000 2022
1529326429426618370,en,NO,YES,0,46019,"",Wed May 25 05:00:08 +0000 2022
1529326429829210112,es,NO,YES,0,1,"",Wed May 25 05:00:09 +0000 2022
1529326430303182849,en,NO,YES,0,3308,"",Wed May 25 05:00:09 +0000 2022
1529326431003623425,en,NO,YES,0,7405,"",Wed May 25 05:00:09 +0000 2022
1529326431402176512,fr,NO,YES,0,591,"",Wed May 25 05:00:09 +0000 2022
1529326431557271555,en,NO,YES,0,5,"",Wed May 25 05:00:09 +0000 2022
1529326431947341824,en,NO,NO,0,0,"",Wed May 25 05:00:09 +0000 2022
1529326432375169026,en,NO,NO,7,1,"",Wed May 25 05:00:09 +0000 2022
1529326432727445504,es,NO,YES,0,42,"",Wed May 25 05:00:09 +0000 2022
1529326433016897537,en,NO,NO,6,0,"",Wed May 25 05:00:09 +0000 2022
1529326434967334912,en,NO,YES,0,270,"",Wed May 25 05:00:10 +0000 2022
1529326435130671105,en,NO,YES,0,63059,"",Wed May 25 05:00:10 +0000 2022
1529326435156037632,en,NO,NO,0,1,"",Wed May 25 05:00:10 +0000 2022
1529326435399217152,en,NO,YES,0,63059,"",Wed May 25 05:00:10 +0000 2022
1529326435554426880,en,NO,YES,0,2,"",Wed May 25 05:00:10 +0000 2022
1529326435848044544,en,NO,NO,0,0,"",Wed May 25 05:00:10 +0000 2022
1529326435931893760,en,NO,YES,0,46019,"",Wed May 25 05:00:10 +0000 2022
1529326436317790209,en,NO,NO,0,0,"",Wed May 25 05:00:10 +0000 2022
1529326436548456448,en,NO,YES,0,3308,"",Wed May 25 05:00:10 +0000 2022
1529326436573757440,en,NO,YES,0,63059,"",Wed May 25 05:00:10 +0000 2022
1529326437043474434,qht,NO,NO,0,0,"",Wed May 25 05:00:10 +0000 2022
1529326437244628992,en,NO,NO,1,0,"",Wed May 25 05:00:10 +0000 2022
1529326437253140482,en,NO,YES,0,128,"",Wed May 25 05:00:10 +0000 2022
1529326438645567489,en,NO,YES,0,642,"",Wed May 25 05:00:11 +0000 2022
1529326438683447296,en,NO,NO,0,0,"",Wed May 25 05:00:11 +0000 2022
1529326440042446848,en,NO,YES,0,63059,"",Wed May 25 05:00:11 +0000 2022
1529326440650625029,en,NO,YES,0,18,"",Wed May 25 05:00:11 +0000 2022
1529326441078325249,en,NO,NO,0,0,"",Wed May 25 05:00:11 +0000 2022
1529326443892703232,de,NO,YES,0,23,"",Wed May 25 05:00:12 +0000 2022
1529326444391841792,en,NO,YES,0,26789,"",Wed May 25 05:00:12 +0000 2022
1529326444727394306,en,NO,YES,0,63059,"",Wed May 25 05:00:12 +0000 2022
1529326444744216578,en,NO,NO,1,0,"",Wed May 25 05:00:12 +0000 2022
1529326446145060865,es,NO,YES,0,16,"",Wed May 25 05:00:12 +0000 2022
1529326446719619076,en,NO,YES,0,79,"",Wed May 25 05:00:13 +0000 2022
1529326446719688704,de,NO,YES,0,325,"",Wed May 25 05:00:13 +0000 2022
1529326448044957696,en,NO,YES,0,46019,"",Wed May 25 05:00:13 +0000 2022
1529326449261428736,en,NO,NO,0,0,"",Wed May 25 05:00:13 +0000 2022
1529326449563299840,en,NO,YES,0,26789,"",Wed May 25 05:00:13 +0000 2022
1529326449978744833,en,NO,YES,0,195,"",Wed May 25 05:00:13 +0000 2022
1529326450599264258,ja,NO,YES,0,803,"",Wed May 25 05:00:13 +0000 2022
1529326450914086914,fr,NO,YES,0,1523,"",Wed May 25 05:00:14 +0000 2022
1529326451383603201,en,NO,YES,0,647,"",Wed May 25 05:00:14 +0000 2022
1529326452038066176,en,NO,NO,0,0,"",Wed May 25 05:00:14 +0000 2022
1529326452285526021,qht,NO,NO,1,0,"",Wed May 25 05:00:14 +0000 2022
1529326453539545088,en,NO,YES,0,1666,"",Wed May 25 05:00:14 +0000 2022
1529326453581651969,en,NO,YES,0,3308,"",Wed May 25 05:00:14 +0000 2022
1529326453946556416,art,NO,YES,0,187,"",Wed May 25 05:00:14 +0000 2022
1529326454109917184,hi,NO,YES,0,103,"",Wed May 25 05:00:14 +0000 2022
1529326455179583488,de,NO,YES,0,1958,"",Wed May 25 05:00:15 +0000 2022
1529326456723079169,en,NO,NO,0,0,"",Wed May 25 05:00:15 +0000 2022
1529326457184477185,en,NO,YES,0,66,"",Wed May 25 05:00:15 +0000 2022
1529326457268408322,en,NO,NO,1,1,"",Wed May 25 05:00:15 +0000 2022
1529326458123866112,en,NO,YES,0,646,"",Wed May 25 05:00:15 +0000 2022
1529326458178572293,de,NO,NO,0,0,"",Wed May 25 05:00:15 +0000 2022
1529326458245681153,en,NO,YES,0,2656,"",Wed May 25 05:00:15 +0000 2022
1529326458270670848,en,NO,NO,7,10,"",Wed May 25 05:00:15 +0000 2022
1529326459176763393,ja,NO,NO,0,0,"",Wed May 25 05:00:16 +0000 2022
1529326459290107906,en,NO,YES,0,195,"",Wed May 25 05:00:16 +0000 2022
1529326459516424194,bn,NO,YES,0,1,"",Wed May 25 05:00:16 +0000 2022
1529326460451815424,en,NO,NO,0,0,"",Wed May 25 05:00:16 +0000 2022
1529326460552589312,de,NO,YES,0,18,"",Wed May 25 05:00:16 +0000 2022
1529326462347747329,en,NO,YES,0,2258,"",Wed May 25 05:00:16 +0000 2022
1529326462863482881,qht,NO,NO,0,0,"",Wed May 25 05:00:16 +0000 2022
1529326463194869760,en,NO,YES,0,270,"",Wed May 25 05:00:16 +0000 2022
1529326463895347202,en,NO,NO,3,0,"",Wed May 25 05:00:17 +0000 2022
1529326464126005248,en,NO,YES,0,46019,"",Wed May 25 05:00:17 +0000 2022
1529326465707294722,en,NO,YES,0,6089,"",Wed May 25 05:00:17 +0000 2022
1529326466269323264,en,NO,YES,0,46019,"",Wed May 25 05:00:17 +0000 2022
1529326467045269506,en,NO,YES,0,63059,"",Wed May 25 05:00:17 +0000 2022
1529326467338862600,en,NO,NO,0,2,"",Wed May 25 05:00:17 +0000 2022
1529326468999831552,en,NO,YES,0,189,"",Wed May 25 05:00:18 +0000 2022
1529326469805010944,en,NO,NO,3,1,"",Wed May 25 05:00:18 +0000 2022
1529326470270550016,en,NO,NO,2,0,"",Wed May 25 05:00:18 +0000 2022
1529326470929084416,qme,NO,NO,0,0,"",Wed May 25 05:00:18 +0000 2022
1529326471143202818,en,NO,YES,0,2371,"",Wed May 25 05:00:18 +0000 2022
1529326471675772929,en,NO,NO,5,4,"",Wed May 25 05:00:19 +0000 2022
1529326472074530817,en,NO,YES,0,93,"",Wed May 25 05:00:19 +0000 2022
1529326472321703936,en,NO,YES,0,63059,"",Wed May 25 05:00:19 +0000 2022
1529326472359333889,en,NO,YES,0,3096,"",Wed May 25 05:00:19 +0000 2022
1529326472854441984,en,NO,NO,1,0,"",Wed May 25 05:00:19 +0000 2022
1529326472908771328,en,NO,YES,0,7405,"",Wed May 25 05:00:19 +0000 2022
1529326473873866752,en,NO,NO,0,0,"",Wed May 25 05:00:19 +0000 2022
1529326474574045185,en,NO,YES,0,63059,"",Wed May 25 05:00:19 +0000 2022
1529326475341709312,en,NO,YES,0,26789,"",Wed May 25 05:00:19 +0000 2022
